id,block,trial,reversal,stim_set,p_a,p_b,choice,reward
26,1,114,1,0,0.8,0.2,1,1
26,1,115,1,0,0.8,0.2,1,0
26,1,116,1,1,0.7,0.3,1,1
26,1,117,1,0,0.8,0.2,1,1
26,1,118,1,1,0.7,0.3,1,1
26,1,119,1,0,0.8,0.2,1,1
26,1,120,1,0,0.8,0.2,1,0
26,1,121,1,0,0.8,0.2,1,1
26,1,122,1,0,0.8,0.2,1,1
26,1,123,0,0,0.2,0.8,0,0
26,1,124,0,1,0.3,0.7,0,0
26,1,125,0,1,0.3,0.7,1,0
26,1,126,0,0,0.2,0.8,0,0
26,1,127,0,0,0.2,0.8,0,0
26,1,128,0,0,0.2,0.8,1,1
26,2,1,0,1,0.3,0.7,1,1
26,2,2,0,0,0.2,0.8,0,1
26,2,3,0,1,0.3,0.7,1,0
26,2,4,0,1,0.3,0.7,1,0
26,2,5,0,1,0.3,0.7,0,0
26,2,6,0,1,0.3,0.7,0,1
26,2,7,0,0,0.2,0.8,0,0
26,2,8,0,1,0.3,0.7,1,1
26,2,9,0,0,0.2,0.8,1,1
26,2,10,0,1,0.3,0.7,0,0
26,2,11,0,0,0.2,0.8,0,0
26,2,12,0,0,0.2,0.8,1,0
26,2,13,0,1,0.3,0.7,1,1
26,2,14,0,1,0.3,0.7,1,1
26,2,15,0,1,0.3,0.7,0,0
26,2,16,0,0,0.2,0.8,0,0
26,2,17,0,0,0.2,0.8,1,1
26,2,18,0,0,0.2,0.8,1,1
26,2,19,0,0,0.2,0.8,1,1
26,2,20,0,1,0.3,0.7,1,0
26,2,21,0,0,0.2,0.8,1,0
26,2,22,0,0,0.2,0.8,1,1
26,2,23,0,0,0.2,0.8,0,0
26,2,24,0,1,0.3,0.7,0,0
26,2,25,0,0,0.2,0.8,1,1
26,2,26,0,1,0.3,0.7,1,1
26,2,27,0,1,0.3,0.7,1,1
26,2,28,0,1,0.3,0.7,1,1
26,2,29,0,0,0.2,0.8,1,1
26,2,30,0,1,0.3,0.7,1,1
26,2,31,0,0,0.2,0.8,1,1
26,2,32,0,0,0.2,0.8,1,1
26,2,33,0,0,0.2,0.8,1,1
26,2,34,0,0,0.2,0.8,1,1
26,2,35,0,0,0.2,0.8,1,1
26,2,36,0,0,0.2,0.8,1,0
26,2,37,0,1,0.3,0.7,1,1
26,2,38,0,1,0.3,0.7,1,1
26,2,39,0,1,0.3,0.7,1,1
26,2,40,0,0,0.2,0.8,1,1
26,2,41,0,0,0.2,0.8,1,1
26,2,42,0,1,0.3,0.7,1,1
26,2,43,0,1,0.3,0.7,1,0
26,2,44,0,0,0.2,0.8,1,1
26,2,45,0,1,0.3,0.7,1,1
26,2,46,0,0,0.2,0.8,1,1
26,2,47,0,1,0.3,0.7,1,1
26,2,48,0,0,0.2,0.8,1,1
26,2,49,0,1,0.3,0.7,1,0
26,2,50,0,1,0.3,0.7,1,1
26,2,51,0,1,0.3,0.7,1,1
26,2,52,0,0,0.2,0.8,1,0
26,2,53,0,0,0.2,0.8,1,1
26,2,54,0,0,0.2,0.8,1,1
26,2,55,0,1,0.3,0.7,1,1
26,2,56,0,0,0.2,0.8,1,1
26,2,57,0,0,0.2,0.8,1,1
26,2,58,0,0,0.2,0.8,1,1
26,2,59,0,0,0.2,0.8,1,1
26,2,60,0,1,0.3,0.7,1,1
26,2,61,0,0,0.2,0.8,1,1
26,2,62,0,0,0.2,0.8,1,1
26,2,63,0,1,0.3,0.7,1,0
26,2,64,1,0,0.8,0.2,0,0
26,2,65,1,0,0.8,0.2,1,1
26,2,66,1,0,0.8,0.2,1,0
26,2,67,1,1,0.7,0.3,1,1
26,2,68,1,1,0.7,0.3,1,1
26,2,69,1,0,0.8,0.2,1,0
26,2,70,1,0,0.8,0.2,1,1
26,2,71,1,0,0.8,0.2,1,0
26,2,72,1,1,0.7,0.3,0,0
26,2,73,1,0,0.8,0.2,1,1
26,2,74,1,1,0.7,0.3,1,0
26,2,75,1,0,0.8,0.2,1,1
26,2,76,1,0,0.8,0.2,1,1
26,2,77,1,0,0.8,0.2,1,1
26,2,78,1,0,0.8,0.2,1,0
26,2,79,1,1,0.7,0.3,1,0
26,2,80,1,1,0.7,0.3,1,1
26,2,81,1,0,0.8,0.2,0,0
26,2,82,1,1,0.7,0.3,1,0
26,2,83,1,1,0.7,0.3,1,1
26,2,84,1,0,0.8,0.2,1,1
26,2,85,1,1,0.7,0.3,0,0
26,2,86,1,1,0.7,0.3,1,1
26,2,87,1,1,0.7,0.3,1,1
26,2,88,1,1,0.7,0.3,1,1
26,2,89,1,1,0.7,0.3,1,1
26,2,90,1,0,0.8,0.2,0,1
26,2,91,1,0,0.8,0.2,1,1
26,2,92,1,0,0.8,0.2,1,1
26,2,93,1,1,0.7,0.3,1,0
26,2,94,1,1,0.7,0.3,1,1
26,2,95,1,1,0.7,0.3,1,1
26,2,96,1,0,0.8,0.2,0,0
26,2,97,1,1,0.7,0.3,1,1
26,2,98,1,1,0.7,0.3,1,1
26,2,99,1,1,0.7,0.3,1,0
26,2,100,1,1,0.7,0.3,1,1
26,2,101,1,1,0.7,0.3,1,1
26,2,102,1,0,0.8,0.2,1,0
26,2,103,1,1,0.7,0.3,1,1
26,2,104,1,0,0.8,0.2,0,1
26,2,105,1,0,0.8,0.2,1,1
26,2,106,1,0,0.8,0.2,1,1
26,2,107,1,1,0.7,0.3,1,1
26,2,108,1,0,0.8,0.2,1,1
26,2,109,1,1,0.7,0.3,1,0
26,2,110,1,1,0.7,0.3,1,1
26,2,111,1,0,0.8,0.2,0,1
26,2,112,1,1,0.7,0.3,1,1
26,2,113,1,0,0.8,0.2,1,1
26,2,114,1,1,0.7,0.3,1,1
26,2,115,1,1,0.7,0.3,1,1
26,2,116,1,0,0.8,0.2,1,0
26,2,117,1,0,0.8,0.2,1,1
26,2,118,1,1,0.7,0.3,1,0
26,2,119,1,1,0.7,0.3,0,1
26,2,120,1,0,0.8,0.2,1,1
26,2,121,1,0,0.8,0.2,1,1
26,2,122,1,1,0.7,0.3,1,1
26,2,123,1,0,0.8,0.2,0,0
26,2,124,1,1,0.7,0.3,1,1
26,2,125,1,0,0.8,0.2,1,0
26,2,126,1,1,0.7,0.3,1,1
26,2,127,1,1,0.7,0.3,1,1
26,2,128,1,1,0.7,0.3,1,1
26,3,1,0,0,0.2,0.8,1,0
26,3,2,0,1,0.3,0.7,0,0
26,3,3,0,0,0.2,0.8,1,1
26,3,4,0,0,0.2,0.8,1,1
26,3,5,0,1,0.3,0.7,1,1
26,3,6,0,1,0.3,0.7,0,1
26,3,7,0,0,0.2,0.8,1,1
26,3,8,0,0,0.2,0.8,1,1
26,3,9,0,0,0.2,0.8,1,1
26,3,10,0,0,0.2,0.8,1,1
26,3,11,0,0,0.2,0.8,1,1
26,3,12,0,0,0.2,0.8,1,1
26,3,13,0,1,0.3,0.7,0,0
26,3,14,0,1,0.3,0.7,1,1
26,3,15,0,0,0.2,0.8,1,0
26,3,16,0,1,0.3,0.7,1,0
26,3,17,0,0,0.2,0.8,1,1
26,3,18,0,1,0.3,0.7,0,0
26,3,19,0,0,0.2,0.8,1,1
26,3,20,0,1,0.3,0.7,1,0
26,3,21,0,1,0.3,0.7,0,1
26,3,22,0,0,0.2,0.8,1,1
26,3,23,0,0,0.2,0.8,1,1
26,3,24,0,0,0.2,0.8,1,1
26,3,25,0,1,0.3,0.7,0,0
26,3,26,0,1,0.3,0.7,0,0
26,3,27,0,1,0.3,0.7,0,0
26,3,28,0,1,0.3,0.7,1,1
26,3,29,0,0,0.2,0.8,1,1
26,3,30,0,1,0.3,0.7,1,1
26,3,31,0,0,0.2,0.8,1,1
26,3,32,0,0,0.2,0.8,1,1
26,3,33,0,1,0.3,0.7,1,1
26,3,34,0,0,0.2,0.8,1,1
26,3,35,0,0,0.2,0.8,1,1
26,3,36,0,0,0.2,0.8,1,1
26,3,37,0,1,0.3,0.7,0,0
26,3,38,0,1,0.3,0.7,1,1
26,3,39,0,0,0.2,0.8,1,1
26,3,40,0,1,0.3,0.7,1,1
26,3,41,0,0,0.2,0.8,1,1
26,3,42,0,1,0.3,0.7,1,0
26,3,43,0,0,0.2,0.8,1,1
26,3,44,0,1,0.3,0.7,1,1
26,3,45,0,1,0.3,0.7,1,0
26,3,46,0,0,0.2,0.8,1,1
26,3,47,0,1,0.3,0.7,1,1
26,3,48,0,1,0.3,0.7,1,1
26,3,49,0,1,0.3,0.7,1,1
26,3,50,0,0,0.2,0.8,1,1
26,3,51,0,1,0.3,0.7,0,1
26,3,52,0,0,0.2,0.8,1,0
26,3,53,0,1,0.3,0.7,0,0
26,3,54,0,0,0.2,0.8,0,1
26,3,55,0,1,0.3,0.7,0,0
26,3,56,0,1,0.3,0.7,1,0
26,3,57,0,1,0.3,0.7,0,0
26,3,58,0,1,0.3,0.7,1,1
26,3,59,0,1,0.3,0.7,1,1
26,3,60,0,1,0.3,0.7,1,1
26,3,61,0,0,0.2,0.8,0,0
26,3,62,0,0,0.2,0.8,1,1
26,3,63,0,0,0.2,0.8,1,1
26,3,64,0,0,0.2,0.8,1,1
26,3,65,0,1,0.3,0.7,1,1
26,3,66,1,1,0.7,0.3,0,1
26,3,67,1,0,0.8,0.2,0,0
26,3,68,1,1,0.7,0.3,1,1
26,3,69,1,1,0.7,0.3,0,1
26,3,70,1,0,0.8,0.2,1,0
26,3,71,1,1,0.7,0.3,1,0
26,3,72,1,1,0.7,0.3,0,0
26,3,73,1,0,0.8,0.2,0,0
26,3,74,1,1,0.7,0.3,1,1
26,3,75,1,0,0.8,0.2,1,1
26,3,76,1,1,0.7,0.3,0,0
26,3,77,1,0,0.8,0.2,1,1
26,3,78,1,0,0.8,0.2,1,1
26,3,79,1,0,0.8,0.2,1,0
26,3,80,1,0,0.8,0.2,1,0
26,3,81,1,1,0.7,0.3,0,0
26,3,82,1,1,0.7,0.3,0,1
26,3,83,1,0,0.8,0.2,1,0
26,3,84,1,1,0.7,0.3,1,1
26,3,85,1,1,0.7,0.3,1,0
26,3,86,1,0,0.8,0.2,1,1
26,3,87,1,1,0.7,0.3,1,1
26,3,88,1,0,0.8,0.2,1,1
26,3,89,1,1,0.7,0.3,1,0
26,3,90,1,1,0.7,0.3,1,0
26,3,91,1,1,0.7,0.3,1,0
26,3,92,1,0,0.8,0.2,1,1
26,3,93,1,1,0.7,0.3,0,0
26,3,94,1,1,0.7,0.3,1,1
26,3,95,1,0,0.8,0.2,1,1
26,3,96,1,0,0.8,0.2,1,1
26,3,97,1,0,0.8,0.2,1,1
26,3,98,1,1,0.7,0.3,1,0
26,3,99,1,0,0.8,0.2,1,1
26,3,100,1,0,0.8,0.2,1,1
26,3,101,1,0,0.8,0.2,1,1
26,3,102,1,1,0.7,0.3,0,0
26,3,103,1,0,0.8,0.2,1,0
26,3,104,1,1,0.7,0.3,1,1
26,3,105,1,0,0.8,0.2,1,1
26,3,106,1,0,0.8,0.2,1,1
26,3,107,1,0,0.8,0.2,0,0
26,3,108,1,1,0.7,0.3,1,1
26,3,109,1,0,0.8,0.2,1,1
26,3,110,1,1,0.7,0.3,1,0
26,3,111,1,0,0.8,0.2,1,1
26,3,112,1,0,0.8,0.2,1,1
26,3,113,1,1,0.7,0.3,1,1
26,3,114,1,0,0.8,0.2,1,0
26,3,115,1,0,0.8,0.2,1,1
26,3,116,1,1,0.7,0.3,0,0
26,3,117,1,1,0.7,0.3,0,1
26,3,118,1,0,0.8,0.2,1,1
26,3,119,1,0,0.8,0.2,1,1
26,3,120,1,1,0.7,0.3,1,0
26,3,121,1,0,0.8,0.2,1,1
26,3,122,1,1,0.7,0.3,0,1
26,3,123,1,0,0.8,0.2,1,1
26,3,124,1,0,0.8,0.2,1,0
26,3,125,1,1,0.7,0.3,0,0
26,3,126,1,1,0.7,0.3,1,1
26,3,127,1,1,0.7,0.3,0,1
26,3,128,0,1,0.3,0.7,1,1
26,4,1,0,1,0.3,0.7,1,1
26,4,2,0,1,0.3,0.7,1,1
26,4,3,0,1,0.3,0.7,1,1
26,4,4,0,0,0.2,0.8,0,0
26,4,5,0,0,0.2,0.8,0,1
26,4,6,0,1,0.3,0.7,1,1
26,4,7,0,1,0.3,0.7,1,0
26,4,8,0,1,0.3,0.7,1,0
26,4,9,0,1,0.3,0.7,1,0
26,4,10,0,0,0.2,0.8,0,0
26,4,11,0,1,0.3,0.7,0,1
26,4,12,0,0,0.2,0.8,1,1
26,4,13,0,0,0.2,0.8,0,0
26,4,14,0,0,0.2,0.8,1,1
26,4,15,0,0,0.2,0.8,1,1
26,4,16,0,1,0.3,0.7,1,0
26,4,17,0,1,0.3,0.7,0,1
26,4,18,0,0,0.2,0.8,1,1
26,4,19,0,0,0.2,0.8,0,0
26,4,20,0,1,0.3,0.7,0,0
26,4,21,0,0,0.2,0.8,1,1
26,4,22,0,0,0.2,0.8,0,0
26,4,23,0,1,0.3,0.7,0,0
26,4,24,0,1,0.3,0.7,1,1
26,4,25,0,0,0.2,0.8,1,1
26,4,26,0,1,0.3,0.7,1,1
26,4,27,0,0,0.2,0.8,1,1
26,4,28,0,1,0.3,0.7,1,1
26,4,29,0,0,0.2,0.8,1,1
26,4,30,0,1,0.3,0.7,0,1
26,4,31,0,0,0.2,0.8,1,1
26,4,32,0,0,0.2,0.8,1,1
26,4,33,0,1,0.3,0.7,1,1
26,4,34,0,0,0.2,0.8,1,1
26,4,35,0,0,0.2,0.8,1,1
26,4,36,0,1,0.3,0.7,1,0
26,4,37,0,1,0.3,0.7,0,1
26,4,38,0,0,0.2,0.8,1,0
26,4,39,0,1,0.3,0.7,0,1
26,4,40,0,1,0.3,0.7,1,1
26,4,41,0,0,0.2,0.8,1,1
26,4,42,0,0,0.2,0.8,1,0
26,4,43,0,1,0.3,0.7,0,0
26,4,44,0,0,0.2,0.8,1,1
26,4,45,0,1,0.3,0.7,1,1
26,4,46,0,1,0.3,0.7,1,1
26,4,47,0,0,0.2,0.8,0,0
26,4,48,0,0,0.2,0.8,1,1
26,4,49,0,0,0.2,0.8,1,0
26,4,50,0,1,0.3,0.7,1,1
26,4,51,0,0,0.2,0.8,1,1
26,4,52,0,0,0.2,0.8,1,1
26,4,53,0,1,0.3,0.7,0,0
26,4,54,0,1,0.3,0.7,1,1
26,4,55,0,1,0.3,0.7,1,1
26,4,56,0,1,0.3,0.7,1,1
26,4,57,0,1,0.3,0.7,1,1
26,4,58,0,0,0.2,0.8,0,1
26,4,59,0,1,0.3,0.7,0,0
26,4,60,0,0,0.2,0.8,1,1
26,4,61,0,1,0.3,0.7,1,1
26,4,62,0,1,0.3,0.7,1,1
26,4,63,0,1,0.3,0.7,1,1
26,4,64,0,0,0.2,0.8,0,0
26,4,65,1,1,0.7,0.3,0,0
26,4,66,1,1,0.7,0.3,1,1
26,4,67,1,1,0.7,0.3,0,1
26,4,68,1,0,0.8,0.2,0,0
26,4,69,1,0,0.8,0.2,0,0
26,4,70,1,0,0.8,0.2,1,1
26,4,71,1,0,0.8,0.2,1,1
26,4,72,1,0,0.8,0.2,1,1
26,4,73,1,1,0.7,0.3,0,0
26,4,74,1,0,0.8,0.2,1,1
26,4,75,1,0,0.8,0.2,1,1
26,4,76,1,1,0.7,0.3,1,1
26,4,77,1,0,0.8,0.2,1,0
26,4,78,1,0,0.8,0.2,1,1
26,4,79,1,0,0.8,0.2,1,1
26,4,80,1,1,0.7,0.3,0,1
26,4,81,1,0,0.8,0.2,1,1
26,4,82,1,1,0.7,0.3,1,1
26,4,83,1,1,0.7,0.3,0,0
26,4,84,1,1,0.7,0.3,1,0
26,4,85,1,0,0.8,0.2,1,0
26,4,86,1,1,0.7,0.3,0,1
26,4,87,1,1,0.7,0.3,0,1
26,4,88,1,1,0.7,0.3,0,0
26,4,89,1,0,0.8,0.2,1,1
26,4,90,1,0,0.8,0.2,1,1
26,4,91,1,1,0.7,0.3,1,1
26,4,92,1,0,0.8,0.2,1,0
26,4,93,1,1,0.7,0.3,1,1
26,4,94,1,0,0.8,0.2,1,1
26,4,95,1,0,0.8,0.2,1,0
26,4,96,1,0,0.8,0.2,1,1
26,4,97,1,0,0.8,0.2,0,0
26,4,98,1,0,0.8,0.2,1,1
26,4,99,1,0,0.8,0.2,1,0
26,4,100,1,1,0.7,0.3,0,0
26,4,101,1,0,0.8,0.2,1,1
26,4,102,1,1,0.7,0.3,1,0
26,4,103,1,1,0.7,0.3,0,0
26,4,104,1,0,0.8,0.2,1,0
26,4,105,1,0,0.8,0.2,0,1
26,4,106,1,0,0.8,0.2,0,1
26,4,107,1,0,0.8,0.2,0,0
26,4,108,1,0,0.8,0.2,0,1
26,4,109,1,1,0.7,0.3,1,1
26,4,110,1,1,0.7,0.3,1,1
26,4,111,1,1,0.7,0.3,1,0
26,4,112,1,0,0.8,0.2,1,1
26,4,113,1,1,0.7,0.3,1,0
26,4,114,1,1,0.7,0.3,0,0
26,4,115,1,1,0.7,0.3,1,1
26,4,116,1,1,0.7,0.3,1,0
26,4,117,1,1,0.7,0.3,1,0
26,4,118,1,0,0.8,0.2,0,0
26,4,119,1,1,0.7,0.3,1,1
26,4,120,1,0,0.8,0.2,1,1
26,4,121,1,0,0.8,0.2,1,1
26,4,122,1,1,0.7,0.3,1,0
26,4,123,1,0,0.8,0.2,1,1
26,4,124,1,1,0.7,0.3,1,1
26,4,125,1,0,0.8,0.2,1,1
26,4,126,1,0,0.8,0.2,1,1
26,4,127,0,1,0.3,0.7,0,0
26,4,128,0,1,0.3,0.7,0,0
27,1,1,0,1,0.3,0.7,1,1
27,1,2,0,0,0.2,0.8,1,0
27,1,3,0,0,0.2,0.8,1,1
27,1,4,0,1,0.3,0.7,1,1
27,1,5,0,1,0.3,0.7,1,0
27,1,6,0,1,0.3,0.7,1,1
27,1,7,0,0,0.2,0.8,1,1
27,1,8,0,0,0.2,0.8,1,1
27,1,9,0,0,0.2,0.8,1,1
27,1,10,0,1,0.3,0.7,1,1
27,1,11,0,0,0.2,0.8,1,1
27,1,12,0,1,0.3,0.7,1,1
27,1,13,0,0,0.2,0.8,1,0
27,1,14,0,1,0.3,0.7,1,1
27,1,15,0,1,0.3,0.7,1,1
27,1,16,0,0,0.2,0.8,1,1
27,1,17,0,0,0.2,0.8,1,0
27,1,18,0,0,0.2,0.8,1,1
27,1,19,0,1,0.3,0.7,1,1
27,1,20,0,1,0.3,0.7,1,1
27,1,21,0,0,0.2,0.8,1,1
27,1,22,0,0,0.2,0.8,0,0
27,1,23,0,1,0.3,0.7,1,1
27,1,24,0,0,0.2,0.8,1,1
27,1,25,0,1,0.3,0.7,0,1
27,1,26,0,1,0.3,0.7,0,1
27,1,27,0,1,0.3,0.7,0,0
27,1,28,0,1,0.3,0.7,0,0
27,1,29,0,1,0.3,0.7,1,0
27,1,30,0,1,0.3,0.7,1,1
27,1,31,0,0,0.2,0.8,1,1
27,1,32,0,1,0.3,0.7,1,1
27,1,33,0,1,0.3,0.7,1,1
27,1,34,0,1,0.3,0.7,1,1
27,1,35,0,0,0.2,0.8,1,1
27,1,36,0,1,0.3,0.7,1,1
27,1,37,0,1,0.3,0.7,1,0
27,1,38,0,0,0.2,0.8,1,1
27,1,39,0,1,0.3,0.7,1,0
27,1,40,0,0,0.2,0.8,1,1
27,1,41,0,1,0.3,0.7,1,1
27,1,42,0,0,0.2,0.8,1,1
27,1,43,0,0,0.2,0.8,1,0
27,1,44,0,1,0.3,0.7,1,0
27,1,45,0,0,0.2,0.8,1,0
27,1,46,0,1,0.3,0.7,1,1
27,1,47,0,0,0.2,0.8,1,1
27,1,48,0,1,0.3,0.7,1,1
27,1,49,0,0,0.2,0.8,1,1
27,1,50,0,0,0.2,0.8,1,1
27,1,51,0,0,0.2,0.8,1,1
27,1,52,0,0,0.2,0.8,1,1
27,1,53,0,0,0.2,0.8,1,1
27,1,54,0,1,0.3,0.7,1,1
27,1,55,0,1,0.3,0.7,1,0
27,1,56,0,1,0.3,0.7,1,0
27,1,57,0,0,0.2,0.8,1,1
27,1,58,0,1,0.3,0.7,1,1
27,1,59,0,1,0.3,0.7,1,0
27,1,60,0,1,0.3,0.7,1,1
27,1,61,1,0,0.8,0.2,0,0
27,1,62,1,1,0.7,0.3,0,1
27,1,63,1,0,0.8,0.2,0,0
27,1,64,1,0,0.8,0.2,0,0
27,1,65,1,0,0.8,0.2,0,0
27,1,66,1,0,0.8,0.2,1,0
27,1,67,1,1,0.7,0.3,1,1
27,1,68,1,0,0.8,0.2,1,1
27,1,69,1,1,0.7,0.3,1,0
27,1,70,1,1,0.7,0.3,1,0
27,1,71,1,1,0.7,0.3,1,0
27,1,72,1,1,0.7,0.3,0,1
27,1,73,1,0,0.8,0.2,1,1
27,1,74,1,1,0.7,0.3,0,1
27,1,75,1,0,0.8,0.2,1,0
27,1,76,1,0,0.8,0.2,1,1
27,1,77,1,0,0.8,0.2,1,1
27,1,78,1,0,0.8,0.2,1,1
27,1,79,1,1,0.7,0.3,0,0
27,1,80,1,0,0.8,0.2,0,0
27,1,81,1,1,0.7,0.3,0,0
27,1,82,1,1,0.7,0.3,1,1
27,1,83,1,1,0.7,0.3,0,0
27,1,84,1,0,0.8,0.2,1,1
27,1,85,1,1,0.7,0.3,0,0
27,1,86,1,0,0.8,0.2,1,0
27,1,87,1,0,0.8,0.2,0,1
27,1,88,1,0,0.8,0.2,0,0
27,1,89,1,1,0.7,0.3,0,1
27,1,90,1,0,0.8,0.2,0,1
27,1,91,1,0,0.8,0.2,0,0
27,1,92,1,0,0.8,0.2,0,0
27,1,93,1,1,0.7,0.3,0,0
27,1,94,1,1,0.7,0.3,0,1
27,1,95,1,0,0.8,0.2,0,0
27,1,96,1,0,0.8,0.2,0,0
27,1,97,1,1,0.7,0.3,0,0
27,1,98,1,0,0.8,0.2,1,1
27,1,99,1,0,0.8,0.2,0,0
27,1,100,1,1,0.7,0.3,1,0
27,1,101,1,0,0.8,0.2,1,0
27,1,102,1,0,0.8,0.2,0,0
27,1,103,1,1,0.7,0.3,0,0
27,1,104,1,0,0.8,0.2,1,1
27,1,105,1,1,0.7,0.3,1,1
27,1,106,1,1,0.7,0.3,1,1
27,1,107,1,1,0.7,0.3,1,0
27,1,108,1,0,0.8,0.2,1,1
27,1,109,1,0,0.8,0.2,1,0
27,1,110,1,0,0.8,0.2,1,1
27,1,111,1,1,0.7,0.3,1,1
27,1,112,1,0,0.8,0.2,1,1
27,1,113,1,0,0.8,0.2,1,1
27,1,114,1,1,0.7,0.3,1,1
27,1,115,1,1,0.7,0.3,1,1
27,1,116,1,1,0.7,0.3,1,1
27,1,117,1,1,0.7,0.3,1,1
27,1,118,1,1,0.7,0.3,1,1
27,1,119,1,1,0.7,0.3,1,1
27,1,120,1,1,0.7,0.3,1,1
27,1,121,1,1,0.7,0.3,1,0
27,1,122,0,0,0.2,0.8,0,0
27,1,123,0,0,0.2,0.8,0,0
27,1,124,0,0,0.2,0.8,0,0
27,1,125,0,0,0.2,0.8,1,1
27,1,126,0,0,0.2,0.8,1,1
27,1,127,0,1,0.3,0.7,0,0
27,1,128,0,0,0.2,0.8,1,0
27,2,1,0,0,0.2,0.8,0,1
27,2,2,0,0,0.2,0.8,0,1
27,2,3,0,0,0.2,0.8,0,1
27,2,4,0,1,0.3,0.7,0,1
27,2,5,0,0,0.2,0.8,0,1
27,2,6,0,1,0.3,0.7,0,1
27,2,7,0,0,0.2,0.8,0,0
27,2,8,0,0,0.2,0.8,0,1
27,2,9,0,0,0.2,0.8,0,1
27,2,10,0,0,0.2,0.8,0,0
27,2,11,0,0,0.2,0.8,0,1
27,2,12,0,1,0.3,0.7,0,1
27,2,13,0,1,0.3,0.7,0,1
27,2,14,0,1,0.3,0.7,0,1
27,2,15,0,0,0.2,0.8,0,0
27,2,16,0,0,0.2,0.8,0,0
27,2,17,0,0,0.2,0.8,1,1
27,2,18,0,1,0.3,0.7,0,1
27,2,19,0,0,0.2,0.8,1,1
27,2,20,0,1,0.3,0.7,0,1
27,2,21,0,1,0.3,0.7,0,1
27,2,22,0,1,0.3,0.7,0,1
27,2,23,0,0,0.2,0.8,1,1
27,2,24,0,1,0.3,0.7,0,0
27,2,25,0,1,0.3,0.7,0,1
27,2,26,0,1,0.3,0.7,0,0
27,2,27,0,0,0.2,0.8,1,0
27,2,28,0,0,0.2,0.8,1,1
27,2,29,0,0,0.2,0.8,1,1
27,2,30,0,0,0.2,0.8,1,1
27,2,31,0,1,0.3,0.7,0,1
27,2,32,0,1,0.3,0.7,0,0
27,2,33,0,0,0.2,0.8,1,1
27,2,34,0,0,0.2,0.8,0,0
27,2,35,0,0,0.2,0.8,1,1
27,2,36,0,1,0.3,0.7,1,1
27,2,37,0,0,0.2,0.8,1,1
27,2,38,0,1,0.3,0.7,1,1
27,2,39,0,1,0.3,0.7,1,1
27,2,40,0,1,0.3,0.7,1,1
27,2,41,0,0,0.2,0.8,1,0
27,2,42,0,0,0.2,0.8,1,1
27,2,43,0,1,0.3,0.7,1,0
27,2,44,0,1,0.3,0.7,1,1
27,2,45,0,1,0.3,0.7,1,1
27,2,46,0,1,0.3,0.7,1,1
27,2,47,0,0,0.2,0.8,1,0
27,2,48,0,1,0.3,0.7,1,0
27,2,49,0,0,0.2,0.8,1,1
27,2,50,0,1,0.3,0.7,0,0
27,2,51,0,1,0.3,0.7,1,1
27,2,52,0,0,0.2,0.8,1,1
27,2,53,0,1,0.3,0.7,1,1
27,2,54,0,0,0.2,0.8,1,0
27,2,55,0,1,0.3,0.7,0,0
27,2,56,0,0,0.2,0.8,1,1
27,2,57,0,1,0.3,0.7,1,1
27,2,58,0,0,0.2,0.8,1,0
27,2,59,0,1,0.3,0.7,1,0
27,2,60,0,0,0.2,0.8,1,1
27,2,61,0,0,0.2,0.8,1,1
27,2,62,0,0,0.2,0.8,1,1
27,2,63,0,0,0.2,0.8,1,1
27,2,64,0,1,0.3,0.7,0,1
27,2,65,0,1,0.3,0.7,0,0
27,2,66,0,0,0.2,0.8,1,0
27,2,67,0,1,0.3,0.7,0,1
27,2,68,1,0,0.8,0.2,0,0
27,2,69,1,1,0.7,0.3,1,1
27,2,70,1,0,0.8,0.2,0,0
27,2,71,1,0,0.8,0.2,1,1
27,2,72,1,0,0.8,0.2,1,0
27,2,73,1,1,0.7,0.3,1,0
27,2,74,1,0,0.8,0.2,1,1
27,2,75,1,0,0.8,0.2,1,0
27,2,76,1,1,0.7,0.3,0,1
27,2,77,1,1,0.7,0.3,1,1
27,2,78,1,1,0.7,0.3,1,1
27,2,79,1,1,0.7,0.3,1,0
27,2,80,1,1,0.7,0.3,0,0
27,2,81,1,0,0.8,0.2,0,0
27,2,82,1,0,0.8,0.2,0,0
27,2,83,1,1,0.7,0.3,1,1
27,2,84,1,1,0.7,0.3,1,0
27,2,85,1,1,0.7,0.3,1,1
27,2,86,1,1,0.7,0.3,1,0
27,2,87,1,0,0.8,0.2,0,0
27,2,88,1,0,0.8,0.2,0,1
27,2,89,1,1,0.7,0.3,0,0
27,2,90,1,0,0.8,0.2,0,1
27,2,91,1,0,0.8,0.2,0,1
27,2,92,1,0,0.8,0.2,0,0
27,2,93,1,0,0.8,0.2,0,0
27,2,94,1,1,0.7,0.3,1,1
27,2,95,1,1,0.7,0.3,1,0
27,2,96,1,0,0.8,0.2,0,0
27,2,97,1,1,0.7,0.3,1,1
27,2,98,1,1,0.7,0.3,1,1
27,2,99,1,1,0.7,0.3,1,1
27,2,100,1,1,0.7,0.3,1,1
27,2,101,1,0,0.8,0.2,0,0
27,2,102,1,1,0.7,0.3,1,1
27,2,103,1,1,0.7,0.3,1,1
27,2,104,1,0,0.8,0.2,1,1
27,2,105,1,1,0.7,0.3,1,0
27,2,106,1,1,0.7,0.3,1,1
27,2,107,1,1,0.7,0.3,1,1
27,2,108,1,1,0.7,0.3,1,1
